,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
542,GOMATI,15,6,0,32,0,32,23,22,1,0,0,4,0.0,53,11,42,11,2,23,2,12,174,9,51,0,135,0,17,140,825,23.0,2.679981745405751e-05
543,GONDA,45,50,11,37,0,37,139,97,41,0,1,18,0.0,180,117,63,48,36,135,0,2,237,28,56,0,12,0,132,656,2021,75.0,9.424241464740576e-05
544,GONDIA,33,21,3,58,0,58,26,0,25,1,0,20,0.0,313,96,217,13,10,41,1,10,59,6,113,3,46,0,135,561,1836,130.0,8.405874656512062e-05
545,GOPALGANJ,87,469,2,14,0,14,172,110,61,10,0,36,0.0,276,59,217,398,23,153,0,18,299,33,0,6,156,0,117,1494,3879,79.0,0.0001569098790467
546,GORAKHPUR,113,116,29,92,22,70,299,256,42,4,0,89,0.0,804,594,210,193,87,266,3,0,363,58,132,0,223,0,298,702,4537,230.0,0.0003006758358668
547,GUMLA,187,21,3,67,0,67,45,36,2,6,0,34,0.0,140,45,95,13,0,38,0,7,0,1,15,0,24,0,95,264,1200,21.0,8.638231633703744e-05
548,GUNA,46,51,0,123,0,123,173,0,0,4,3,34,0.0,409,199,210,52,14,31,0,23,500,12,168,8,92,0,160,1900,4539,155.0,0.0001377535559412
549,GUNTAKAL RAILWAY,14,4,0,0,0,0,0,0,0,2,0,4,0.0,413,0,413,1,0,5,5,0,0,0,0,0,0,0,4,37,490,0.0,7.135459601838334e-05
550,GUNTUR,105,137,4,49,0,49,64,0,50,5,0,24,0.0,711,200,511,78,22,328,5,52,37,16,245,347,454,0,494,2606,6897,210.0,0.0001966041959836
551,GUNTUR URBAN,51,65,0,40,0,40,84,0,84,5,0,31,0.0,1045,367,678,8,23,531,2,35,29,12,160,452,345,0,226,1740,5798,173.0,0.000256413144463
552,GURDASPUR,13,11,3,26,0,26,31,19,0,1,1,2,0.0,80,15,65,0,9,58,1,6,99,2,37,0,47,0,94,145,781,41.0,3.1955648120274065e-05
553,GURGAON,96,54,5,117,0,117,348,53,213,28,8,119,0.0,4815,3638,1177,172,140,439,2,8,88,19,155,13,277,0,416,2560,11444,725.0,0.0010678017396895
554,GUWAHATI CITY,84,94,1,100,0,100,455,421,15,20,3,247,0.0,3095,1473,1622,155,577,449,8,50,179,11,143,0,486,0,283,4151,12216,924.0,0.0007809754298643
555,GWALIOR,78,137,25,158,0,158,233,40,106,7,40,99,0.0,1821,1306,515,108,56,143,0,18,66,36,364,21,441,0,228,6285,12958,641.0,0.0004610907608407
556,HAILAKANDI,276,71,8,493,0,493,744,596,148,97,4,66,773.0,1307,102,1205,1953,141,286,27,258,633,38,242,4,948,0,312,5126,13852,45.0,0.0007712085603145
557,HAMIRPUR,580,323,245,268,0,268,449,369,80,19,0,126,783.0,1265,287,978,582,310,495,9,144,3213,191,660,167,506,0,983,9080,20495,97.0,0.0006458309670991
558,HAMREN,20,0,0,17,0,17,31,21,10,0,0,4,19.0,54,6,48,5,15,2,0,3,21,0,2,0,3,0,9,181,398,12.0,2.5483784292279768e-05
559,HANDWARA,191,399,19,76,0,76,326,297,29,3,0,29,240.0,487,20,467,458,25,93,5,70,42,0,656,66,17,0,35,2149,5400,14.0,0.0002738267902396
560,HANUMANGARH,663,1035,12,697,0,697,573,455,118,8,15,120,1286.0,3357,924,2433,221,179,5867,13,129,5754,199,1009,4,4128,1,1581,21448,48411,112.0,0.0015281015678818
561,HAPUR,53,81,11,35,0,35,100,71,29,2,0,41,0.0,417,256,161,45,24,111,2,2,24,21,75,0,52,0,158,570,1839,15.0,0.0001316000342995
562,HARDA,223,211,2,396,0,396,96,77,19,8,3,132,817.0,1396,600,796,184,26,87,0,49,4528,68,568,94,206,0,235,5648,15012,35.0,0.0005014316077847
563,HARDOI,1216,860,391,437,0,437,992,890,102,40,4,277,596.0,2529,606,1923,410,406,822,6,77,3907,476,807,359,943,0,2527,12073,30216,61.0,0.0011532257475895
564,HARIDWAR,828,784,111,418,0,418,1135,790,345,112,16,697,950.0,6344,2611,3733,1478,578,1792,71,81,4874,164,441,622,1352,0,2028,4612,29537,49.0,0.0020090608193993
565,HASSAN,812,838,28,270,0,270,323,197,126,104,17,612,2747.0,4424,1765,2659,2498,132,861,21,162,16410,135,1147,2,1370,3,0,29834,62974,224.0,0.0015948221518692
566,HATHRAS,820,878,171,281,0,281,817,588,229,213,12,626,641.0,2906,1142,1764,1022,495,849,14,33,1895,288,569,195,1333,0,1338,7001,22436,39.0,0.0011747056404669
567,HAVERI,299,249,22,93,0,93,180,40,140,63,4,117,905.0,1503,530,973,3041,128,437,19,0,3614,31,620,0,500,0,1166,14218,27285,76.0,0.0007165981069181
568,HAZARIBAGH,1035,699,95,613,0,613,658,520,138,644,97,732,1314.0,5717,1401,4316,2905,211,1202,18,167,2959,422,395,0,712,0,756,13249,34675,75.0,0.0019485364214704
569,HIMATNAGAR,518,154,21,155,0,155,567,544,23,207,4,221,1732.0,2940,1040,1900,710,618,526,123,462,3319,7,469,19,2609,0,3179,48206,66884,118.0,0.0010547825288347
570,HINGOLI,457,318,13,190,0,190,142,113,29,84,23,399,1136.0,2322,380,1942,1468,97,462,8,311,5588,44,520,72,1309,0,1097,5890,22006,56.0,0.0008235282627212
571,HISSAR,763,722,41,348,0,348,700,519,181,52,177,416,3062.0,8610,5405,3205,684,278,1889,24,167,4257,214,456,141,2436,0,257,17516,43678,468.0,0.0024476444594833
572,HOOGHLY,1241,462,367,628,0,628,976,878,98,138,1140,373,335.0,8464,1737,6727,5463,254,1311,58,312,2520,207,600,21,7962,0,1945,19235,54021,9.0,0.0026529948608937
573,HOSHANGABAD,622,672,290,824,0,824,366,295,71,22,34,476,2751.0,4406,1615,2791,391,97,369,8,164,5773,162,1650,222,862,0,469,24134,44942,178.0,0.0014942818129389
574,HOSHIARPUR,535,504,60,361,0,361,355,250,105,52,62,194,1235.0,1998,555,1443,2,125,1777,27,91,3621,122,223,22,865,0,2381,4201,18954,141.0,0.0008527894888319
575,HOWRAH,742,204,184,442,0,442,1019,867,152,158,411,271,259.0,6509,1732,4777,2024,337,1688,27,56,2607,236,826,65,5947,0,2850,22761,49652,29.0,0.0019189535712952
576,HOWRAH CITY,254,31,78,132,0,132,593,441,152,41,535,211,76.0,5247,1421,3826,479,330,978,31,33,722,49,474,122,2067,0,579,12190,25258,6.0,0.0012782259248109
577,HOWRAH G.R.P.,130,117,20,11,0,11,62,39,23,25,268,66,1.0,5471,6,5465,88,15,130,13,1,80,6,69,6,6,1,8,1129,7723,0.0,0.0009785477799196
578,HYDERABAD CITY,1575,1708,70,813,0,813,1597,742,855,127,8,989,13435.0,60333,22303,38030,2550,1335,24886,358,495,50435,436,2313,1831,15535,2,6493,31304,219286,658.0,0.0145305190518806
579,HAILAKANDI,24,1,0,77,0,77,104,89,15,3,1,3,0.0,178,39,139,287,28,44,0,9,13,4,23,0,209,0,36,803,1940,93.0,9.899457429392492e-05
580,HAMIRPUR,43,27,20,42,13,29,86,55,12,2,0,18,0.0,115,40,75,48,28,61,0,17,98,26,129,15,69,0,104,544,1826,73.0,6.427886659994738e-05
581,HANDWARA,3,14,0,3,0,3,26,0,24,0,0,2,0.0,44,0,44,53,2,1,0,4,3,0,80,0,2,0,8,201,562,22.0,1.7151095519826666e-05
582,HANUMANGARH,67,77,2,135,0,135,79,0,7,1,0,12,0.0,284,131,153,0,9,621,0,8,66,11,124,0,599,0,178,2221,5021,133.0,0.0001459287145597
583,HAPUR,42,71,4,46,8,38,82,0,0,4,0,35,0.0,493,335,158,40,23,88,0,4,11,16,62,0,70,0,171,395,1841,31.0,0.0001327519735508
584,HARDA,12,14,1,47,0,47,79,0,0,0,2,8,0.0,80,51,29,10,1,6,0,3,44,5,82,2,28,0,80,1199,2016,52.0,3.777441818469287e-05
585,HARDOI,79,53,19,39,0,39,177,161,14,2,1,13,0.0,275,145,130,36,45,95,1,1,418,40,93,0,140,0,323,792,2981,47.0,0.0001230179227832
586,HARIDWAR,73,69,13,73,0,73,241,0,112,11,0,70,0.0,562,267,295,160,43,174,2,0,43,0,99,0,0,0,151,491,2505,66.0,0.0001946285053019
587,HASSAN,64,96,1,63,0,63,57,0,57,11,0,33,0.0,344,199,145,157,7,110,1,27,4,11,251,0,103,0,409,1537,5182,181.0,0.0001225157954172
588,HATHRAS,72,44,17,60,0,60,146,95,17,9,0,56,0.0,339,232,107,112,50,89,0,5,101,24,121,1,103,0,177,436,2280,70.0,0.0001382458376726
589,HAVERI,28,44,6,40,0,40,17,0,17,10,0,12,0.0,253,87,166,250,6,37,0,0,23,10,94,3,44,0,196,335,2201,79.0,8.457400144392139e-05
590,HAZARIBAGH,60,4,1,52,0,52,110,26,65,25,3,25,0.0,459,183,276,97,1,135,1,12,7,23,50,0,37,0,159,1459,3039,131.0,0.0001404020316558
591,HINGOLI,27,28,1,24,0,24,29,12,4,2,2,19,0.0,128,32,96,66,6,44,1,12,54,4,80,0,83,0,91,812,1761,51.0,4.720653615713486e-05
592,HISSAR,66,49,3,55,0,55,73,16,56,12,6,39,0.0,1191,806,385,164,18,155,1,20,82,14,91,1,323,0,213,2056,5608,558.0,0.0002866720615493
593,HOOGHLY,125,38,20,110,0,110,355,1,77,4,139,20,0.0,1076,294,782,376,48,592,28,66,75,34,226,6,1345,0,366,3284,8858,12.0,0.0003549777927116
594,HOSHANGABAD,59,65,0,102,0,102,110,29,0,3,0,42,0.0,416,201,215,38,12,26,1,19,110,6,183,12,121,0,136,2353,4870,227.0,0.0001329259130959
595,HOSHIARPUR,32,34,5,43,0,43,63,0,0,3,5,8,0.0,207,31,176,0,11,167,0,0,212,7,41,2,93,0,229,232,1637,149.0,7.010091854257513e-05
596,HOWRAH G. R. P.,82,246,8,77,0,77,181,35,6,2,39,9,0.0,284,82,202,127,82,143,2,26,835,5,181,3,796,0,238,1373,5259,22.0,0.0001369790326839
597,HOWRAH PC,43,28,7,43,0,43,202,5,196,2,61,29,0.0,1126,218,908,32,121,375,15,15,330,4,318,26,557,0,105,2349,6273,9.0,0.0002836330423278
598,HOWRAH RURAL,11,6,0,3,0,3,5,0,0,4,34,2,0.0,288,0,288,1,0,10,3,0,0,1,13,0,0,0,0,56,445,0.0,5.3914695216171536e-05
599,HUBBALLI DHARWAD CITY,20,35,0,21,0,21,37,2,34,4,1,72,0.0,321,194,127,109,24,130,3,4,34,7,31,3,39,0,108,335,1936,141.0,9.830537987005128e-05
600,HYDERABAD CITY,118,163,6,126,0,126,374,6,132,9,0,58,0.0,4266,1396,2870,57,97,2557,37,20,119,22,393,87,1289,0,441,5584,18940,754.0,0.0010302242341973
601,I&P HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,649,0.0,0.0
602,I.G.I. AIRPORT,9,7,2,1,0,1,12,5,7,0,0,14,2.0,266,43,223,7,12,2016,3,1,14,0,14,5,1,0,4,310,2700,0.0,0.0001841954144757
603,IDUKKI,320,315,21,433,0,433,89,70,19,52,0,217,2000.0,2557,435,2122,3290,288,1460,19,152,17398,7,1886,161,2076,0,7,34987,67890,155.0,0.0011471083266081
604,IGI AIRPORT,8,2,2,1,0,1,36,6,30,1,0,23,5.0,829,196,633,3,24,2794,9,0,8,0,45,11,2,0,45,1654,5502,0.0,0.0003380794018138
605,IGI AIRPORT,1,0,0,0,0,0,3,0,0,0,0,3,0.0,157,8,149,0,4,14,0,0,1,0,12,4,0,0,7,49,453,1.0,2.7846736602703648e-05
606,IMPHAL EAST,185,573,4,59,0,59,326,221,105,0,402,5,65.0,792,518,274,100,37,145,3,123,432,0,74,0,40,0,0,1377,4753,11.0,0.0003250240902988
607,IMPHAL WEST,260,997,8,107,0,107,486,306,180,2,300,16,187.0,2575,2031,544,156,126,324,27,125,785,2,152,1,61,0,5,3151,9873,20.0,0.0007612021136555
608,IMPHAL(EAST),140,168,6,25,0,25,107,73,34,2,0,4,41.0,169,82,87,83,13,170,10,60,249,0,18,0,2,0,0,909,2176,0.0,0.0001081739876442
609,IMPHAL(WEST),181,254,5,34,0,34,212,151,61,4,0,8,173.0,694,416,278,208,70,161,31,163,507,0,101,0,12,0,42,2286,5146,0.0,0.0002619365454886
610,INDORE,1445,2025,50,1445,0,1445,1023,748,275,77,102,2550,11729.0,46788,29839,16949,1700,697,1931,67,560,21653,390,3904,929,4268,5,5201,116653,226647,1455.0,0.0109673609073064
611,INDORE RLY.,37,21,11,25,0,25,13,13,0,2,1,76,24.0,2556,21,2535,15,2,23,0,0,86,4,61,7,2,0,0,1190,4158,2.0,0.0004465979866701
612,IDUKKI,20,25,0,71,0,71,10,4,6,0,0,26,0.0,144,33,111,216,16,206,1,9,90,2,186,12,160,0,71,2373,5264,157.0,7.907357356576801e-05
613,IMPHAL EAST,13,42,0,20,0,20,27,17,10,0,0,0,0.0,251,208,43,15,2,18,0,6,44,1,7,0,8,0,15,46,645,15.0,6.375048420831094e-05
614,IMPHAL WEST,20,61,1,20,0,20,52,25,13,0,0,4,0.0,475,410,65,42,31,39,0,8,103,0,44,0,14,0,27,152,1417,28.0,0.0001175864143474
615,INDORE,115,220,3,261,0,261,507,54,29,3,3,317,0.0,6530,4756,1774,82,36,177,5,49,139,37,411,34,254,0,629,7174,23992,1588.0,0.0014177188762029
616,INDORE RAILWAY,1,0,0,4,0,4,5,0,5,2,0,4,0.0,434,34,400,0,0,0,0,0,0,0,9,0,0,0,0,88,552,5.0,7.462991047088756e-05
617,IRRIGATION & POWER,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0.0,0.0
618,J.P.NAGAR,811,531,137,290,0,290,469,397,72,68,21,334,477.0,1718,677,1041,559,208,833,23,19,877,165,297,390,762,0,1346,5330,15665,0.0,0.0007970992975047
619,JABALPUR,1084,1722,63,1430,0,1430,658,499,159,22,71,1291,6035.0,12275,5573,6702,1194,225,1475,40,267,38630,516,3389,919,2020,3,2752,53646,130236,509.0,0.0036970784667674
620,JABALPUR RLY.,37,21,12,23,0,23,12,9,3,6,25,189,49.0,4616,78,4538,22,10,25,1,1,91,5,81,17,2,0,3,1710,6968,10.0,0.0007998298201746
621,JAGATSINGHPUR,374,270,27,299,0,299,414,340,74,137,24,573,929.0,2394,533,1861,395,102,394,1,159,1794,219,348,28,683,0,2176,7604,19477,133.0,0.0008231508467272
622,JAGDALPUR,813,450,13,796,0,796,214,179,35,102,12,202,1680.0,1725,613,1112,509,62,228,25,124,4324,20,583,26,226,0,1368,12320,25891,69.0,0.0008934847786226
623,JAGRAON,142,196,24,109,0,109,117,69,48,4,18,24,398.0,588,162,426,0,60,380,11,8,943,20,55,17,149,0,471,1710,5444,0.0,0.0002441947118912
624,JAINTIA HILLS,517,50,5,236,0,236,81,31,50,97,1,82,176.0,700,167,533,1,62,96,11,71,408,0,58,0,0,0,168,1001,3821,0.0,0.0003105772624231
625,JAINTIA HILLS EAST,23,8,0,14,0,14,20,1,19,2,0,5,0.0,58,8,50,0,14,8,1,7,33,0,3,0,0,0,24,67,292,5.0,2.2126422884552504e-05
626,JAINTIA HILLS WEST,20,0,2,24,0,24,2,0,2,4,0,7,0.0,42,2,40,0,2,11,1,15,39,0,10,0,2,0,10,83,293,19.0,1.7712296693552338e-05
627,JAIPUR,439,531,39,338,0,338,1167,956,211,26,21,320,4822.0,17441,7306,10135,8649,1154,7308,99,264,7996,172,1006,9,2526,0,4192,41008,99527,0.0,0.0051002717500177
628,JAIPUR EAST,173,221,21,242,0,242,593,496,97,23,22,757,2448.0,19387,14720,4667,782,279,5149,32,61,357,65,417,4,1605,0,1661,17651,52411,461.0,0.0045533204914751
629,JAIPUR NORTH,140,206,5,208,0,208,564,510,54,13,7,280,819.0,6246,3945,2301,281,291,4797,6,22,2725,71,296,0,1710,0,876,9490,29183,130.0,0.0017906222876917
630,JAIPUR RURAL,469,252,22,328,0,328,797,640,157,43,17,190,1525.0,7081,3092,3989,492,218,5931,9,202,4344,111,693,15,1850,0,4513,30730,60013,181.0,0.0021660954098181
631,JAIPUR SOUTH,143,158,10,162,0,162,482,388,94,8,19,466,1829.0,11222,7511,3711,362,1104,6963,23,37,1944,57,208,0,1556,0,1387,12799,41200,261.0,0.0029811761180295
632,JAIPUR WEST,82,60,4,125,0,125,338,260,78,3,5,185,582.0,3487,2468,1019,17,424,3164,2,21,766,15,112,0,794,0,821,5539,16932,386.0,0.0010589406685254
633,JAISALMER,89,32,2,62,0,62,132,76,56,2,0,47,646.0,1654,312,1342,202,35,882,8,87,1699,72,290,0,282,1,620,5981,12865,40.0,0.0004686850270161
634,JAJPUR,567,346,0,408,0,408,566,524,42,144,1,556,1287.0,3172,845,2327,682,152,431,8,184,7795,377,880,88,1087,0,2337,6416,27615,131.0,0.0011066329226574
635,JALANDHAR,639,912,120,365,0,365,793,594,199,30,117,155,2565.0,4527,1975,2552,1,128,3691,76,113,4711,112,321,7,1023,0,1983,8008,30397,0.0,0.0016736069201526
636,JALANDHAR RURAL,134,176,14,107,0,107,97,80,17,26,25,72,305.0,600,178,422,0,13,533,3,28,780,12,109,12,186,0,484,1169,5022,137.0,0.0002459964630279
637,JALAUN,703,383,152,89,0,89,490,337,153,34,12,186,383.0,1383,594,789,247,236,453,17,46,244,386,378,204,452,0,1223,7205,14938,32.0,0.0006033011073897
638,JALGAON,1080,726,32,543,0,543,397,319,78,307,31,680,2925.0,9547,2180,7367,3140,1011,2724,71,286,9479,117,1471,446,4698,0,4634,16537,61250,368.0,0.0028136099804384
639,JALNA,651,509,21,228,0,228,213,162,51,185,59,684,2254.0,5023,1307,3716,2325,176,997,18,354,7468,321,819,115,3443,0,1879,8368,36335,225.0,0.0015805886460771
